OBJECTID,ID,Pop,Shape_Length,Shape_Area
191,5885,39989.34375,0.683334,0.005694489
192,5886,5064.553223,0.133334,0.000625008
193,5887,33079.86719,0.316668,0.003541675
194,5888,26671.15234,0.499998,0.004166658
195,5889,8811.53125,0.3,0.001458325
196,5891,58480.92969,0.5,0.005555553
197,5892,12818.1582,0.21667,0.001250025
198,5893,70151.30469,0.850002,0.00937505
199,5894,136989.9844,1.966662,0.021041717
200,5895,15545.4834,0.316666,0.0025
201,5896,5516.55127,0.116668,0.000624992
