OBJECTID,FID_pak1k_gpo2_urban,ID,Pop,FID_pak_admbnda_adm1_wfp_20220909,Shape_Leng,ADM1_EN,ADM1_PCODE,ADM1_REF,ADM1ALT1EN,ADM1ALT2EN,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Shape_Length,Shape_Area
62,56,4280,23062.09375,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.55,0.003750008
63,57,4286,137225.0625,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.88333,0.011666608
64,58,4287,25926.63867,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.35,0.003611106
65,59,4289,360698.4375,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,2.51666,0.032986089
66,60,4295,5415.729492,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.166668,0.000972219
67,61,4296,7521.341797,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.216668,0.00145835
68,62,4301,8140.473633,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.166664,0.001111089
69,63,4312,56631.64063,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.433332,0.005486122
70,64,4324,264002.8437,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,2.316666,0.027777806
71,65,4325,1717396.772,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,7.515561178,0.157764625
72,65,4325,143.4783582,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.021041868,1.31803E-05
73,66,4327,5775.104492,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.183336,0.001111097
74,67,4330,6018.735352,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.183332,0.001041683
75,68,4335,24057.67969,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.316666,0.003819447
76,69,4336,8264.420898,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.199998,0.001180544
77,70,4346,259644.9063,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,1.433336,0.020694489
78,71,4372,14764.69141,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.316666,0.002222203
79,72,4377,26857.11523,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.516666,0.003749983
80,73,4383,8054.040457,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.231534706,0.001429937
81,73,4383,4853.689035,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.137458772,0.000861738
82,74,4394,13285.83789,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.41667,0.002152806
83,75,4429,21022.31836,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.516668,0.003680553
84,76,4432,27536.5332,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.383334,0.003819481
85,77,4443,40254.70313,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.466666,0.004513861
86,78,4454,216512.5,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,1.633338,0.024444472
87,79,4457,19280.79883,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.3,0.002916683
88,80,4459,9509.283203,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.166668,0.001180569
